"WorkDate","ClientProject","Job","Begin","End","Duration","Narrative"
"07/06/2018","WSCCWC (Accounting Valuation)","Valuation","","","2","test"
"07/06/2018","WSCCWC (Accounting Valuation)","Valuation","","","0","comments"
"07/06/2018","WSCCWC (Accounting Valuation)","Valuation","","","2.69","test2"
"07/06/2018","WSCCWC (Accounting Valuation)","Valuation","","","0","comments"
"07/06/2018","WSCCWC (Accounting Valuation)","Valuation","","","0","comments"
"07/06/2018","WSCCWC (Accounting Valuation)","Valuation","","","0","comments"
"07/06/2018","WSCCWC (Accounting Valuation)","Valuation","","","0","comments"
"07/06/2018","WSCCWC (Accounting Valuation)","Valuation","","","0","comments"
"07/06/2018","WSCCWC (Accounting Valuation)","Valuation","","","0","comments"
"07/06/2018","WSCCWC (Accounting Valuation)","Valuation","","","0","comments"
